,word,word length,nr_phon,aoa,OSC_m,OSC_h,PSC_m,PSC_h,conc,val,freq_subtlex,old20,morph
5187,outhouse,8,6,7.9,0.5651185788488963,0.17308135777425873,0.20449924157454677,0.09651711772218172,4.89,4.19,0.75,51.0,1
5188,outing,6,5,7.95,0.07293043580154682,0.17108713016591157,0.5501949627082283,0.11997731690534148,2.72,6.09,1.0,34.0,0
5189,outlaw,6,5,6.33,0.5030134572609971,0.11772965747909736,0.5030134572609971,0.09517736279186206,3.61,4.1,2.92,46.0,1
5190,outlet,6,6,8.32,0.5825214265918335,0.062383825674986605,0.5825214265918335,0.10714145089053383,4.31,5.45,2.0,37.0,1
5191,outline,7,6,8.74,0.45805638196069437,0.07497924565252455,0.46340128040615847,0.08252774266923438,3.61,5.1,2.04,40.0,1
5192,outlive,7,7,8.43,0.3795800270463179,0.09936281662989781,0.3894502476221078,0.16522801577439963,2.15,5.52,1.12,48.0,1
5193,outlook,7,6,10.65,0.05494706898787401,0.02461522726363658,0.024528720162779977,0.02028131428929785,1.97,6.15,2.02,58.0,1
5194,outnumber,9,10,8.3,0.4728488196633789,0.18403676346307524,0.06428865614920651,0.23184729356680284,2.5,3.86,0.76,72.0,1
5195,outpatient,10,9,11.79,0.7385624218394921,0.23369959903085286,0.7385624218394921,0.1046287748046628,3.24,4.14,0.61,76.0,1
5196,outpost,7,7,11.53,0.47236428340357567,0.1365566917448644,0.47236428340357567,0.1125682077883709,4.04,4.67,1.31,54.0,1
5197,output,6,6,10.72,0.07540075892712968,0.029416128480681536,0.03447012821722567,0.06182085940101468,2.48,4.85,1.39,53.0,1
5198,outrage,7,6,9.9,0.39021250938671376,0.14171133151067508,0.5493985376968604,0.07672530786193756,2.45,2.97,3.14,45.0,1
5199,outrank,7,7,10.61,0.3306684426369661,0.15277963189557053,0.3306684426369661,0.07720436624525967,2.36,4.4,0.59,47.0,1
5200,outrun,6,7,8.42,0.3541039850532044,0.13710626971471598,0.3541039850532044,0.14906530665020232,2.88,6.26,1.94,53.0,1
5201,outsmart,8,7,9.16,0.3658236618464862,0.08429312561023401,0.3658236618464862,0.11807396476434517,2.23,5.8,0.76,61.0,1
